Search query: meta analysis[tiab] OR meta-analysis[tiab]
Year,Count
2025,74
2024,32692
2023,34563
2022,35938
2021,33597
2020,27979
2019,22443
2018,19666
2017,17803
2016,16201
2015,15150
2014,13044
2013,10625
2012,8411
2011,6402
2010,4963
2009,4022
2008,3301
2007,2766
2006,2229
2005,1880
2004,1505
2003,1326
2002,1085
2001,1001
2000,957
1999,748
1998,645
1997,671
1996,485
1995,477
1994,390
1993,316
1992,288
1991,222
1990,154
1989,118
1988,80
1987,45
1986,26
1985,21
1984,15
1983,18
1982,11
1981,3
1980,6
1979,1
1977,1
