Search query: systematic review[tiab]
Year,Count
2025,94
2024,42399
2023,45661
2022,47245
2021,43570
2020,34800
2019,27099
2018,22979
2017,20487
2016,17697
2015,15243
2014,12762
2013,10432
2012,8415
2011,6607
2010,5213
2009,4296
2008,3483
2007,2945
2006,2193
2005,1761
2004,1355
2003,1045
2002,895
2001,696
2000,541
1999,366
1998,268
1997,167
1996,77
1995,54
1994,41
1993,20
1992,11
1991,13
1990,7
1989,9
1988,4
1987,6
1986,6
1985,5
1984,10
1983,8
1982,3
1981,4
1980,8
1979,3
1978,4
1977,2
1976,1
1975,4
1973,1
1972,2
1971,1
1967,1
1957,1
1955,1
1954,1
1949,4
1948,1
