Position,Country/territory,"Share 2016","Share 2017","Count 2017","Change in Adjusted Share 2016-2017"
1,"United States of America (USA)",20007.8048884,19998.8615747,27350,-0.015
2,China,8095.067279,9271.0487153,12845,0.129
3,Germany,4518.9292586,4440.6304061,8209,-0.031
4,"United Kingdom (UK)",3741.1927687,3697.4951643,7333,-0.026
5,Japan,3178.057838,3104.4097403,4780,-0.037
6,France,2329.5525616,2254.9229442,4743,-0.046
7,Canada,1581.4654251,1577.7207905,3130,-0.017
8,Switzerland,1350.5187695,1360.5296267,3059,-0.007
9,"South Korea",1337.4428522,1301.7580106,2129,-0.041
10,Spain,1213.8866862,1110.2164254,2515,-0.098
11,Australia,1174.3213903,1106.2483186,2440,-0.071
12,Italy,1045.9821468,1045.4451623,2552,-0.015
13,India,904.8006651,958.3594061,1467,0.044
14,Netherlands,934.0694891,920.0745329,2226,-0.029
15,Sweden,585.6929214,607.0150059,1650,0.022
16,Singapore,555.7004317,599.1060863,1136,0.063
17,Israel,593.8874631,588.3642008,1199,-0.023
18,Taiwan,443.1884619,425.6819262,950,-0.053
19,Russia,398.1719173,413.5181499,1300,0.024
20,Belgium,455.0070067,405.8819957,1114,-0.121
21,Austria,335.2400424,375.7262677,1030,0.105
22,Denmark,395.9208105,365.6805456,1054,-0.09
23,Brazil,251.7105699,262.9393164,863,0.03
24,Poland,207.091215,220.2806788,813,0.049
25,Finland,204.5927678,196.7492217,617,-0.052
26,"Czech Republic",171.7408687,195.5033096,638,0.122
27,Norway,162.1019915,193.1835064,653,0.175
28,"Saudi Arabia",137.3952058,140.4530303,465,0.008
29,Portugal,141.6759939,135.1078217,533,-0.06
30,"New Zealand",121.9918755,130.2669516,391,0.053
31,Ireland,133.3181506,127.0609605,471,-0.061
32,Chile,83.5390386,100.8939132,371,0.191
33,Argentina,93.6116993,97.5892942,310,0.028
34,Iran,90.8169684,88.1402388,243,-0.043
35,Greece,88.4627315,83.0892454,398,-0.074
36,Mexico,79.7123409,80.7923088,350,-0.001
37,Hungary,77.3206334,77.5737706,340,-0.011
38,"South Africa",62.483364,70.0110113,353,0.104
39,Turkey,73.485517,59.524636,326,-0.202
40,Slovenia,36.1552443,40.9864295,179,0.117
41,Pakistan,28.2358058,40.2594003,198,0.405
42,Thailand,29.3771673,37.5692093,223,0.261
43,Croatia,21.0736931,28.4906494,180,0.333
44,Iceland,23.0752786,26.8328251,107,0.146
45,Estonia,22.1640432,26.1062303,152,0.161
46,Romania,25.2777074,22.045718,235,-0.14
47,Ukraine,27.5178362,21.4285062,238,-0.232
48,Luxembourg,20.5716727,18.9687292,72,-0.091
49,"United Arab Emirates",16.8281098,18.8112914,73,0.102
50,Colombia,24.3688226,17.3835386,270,-0.297
51,Slovakia,11.3001193,14.1549488,133,0.235
52,Egypt,9.7660652,12.3506202,173,0.247
53,Lithuania,9.8301436,11.5784705,105,0.161
54,Vietnam,9.4387748,10.449977,72,0.091
55,Qatar,14.9888423,10.4136978,99,-0.315
56,Indonesia,11.0603545,8.7236047,61,-0.223
57,Cyprus,18.3886175,8.4187565,95,-0.549
58,Armenia,7.180315,8.3114906,180,0.141
59,Malaysia,10.527633,7.8801779,156,-0.262
60,Serbia,11.2538373,7.7389968,173,-0.322
61,Kazakhstan,3.5602538,7.3606035,25,1.038
62,Lebanon,5.1842964,7.3240428,26,0.393
63,Bulgaria,9.6743833,7.0754476,135,-0.279
64,Ecuador,5.5696875,6.8861948,100,0.219
65,Panama,8.4196759,6.8741899,41,-0.195
66,Uruguay,5.6960849,6.5852977,20,0.14
67,Belarus,5.1950457,5.9894405,155,0.136
68,Peru,7.9991257,5.600135,50,-0.31
69,Malta,0.577381,4.4713387,9,6.634
70,Bangladesh,3.2078188,4.0611892,24,0.248
71,Kenya,5.9655846,3.7258806,22,-0.384
72,Moldova,1.5735974,3.3401152,14,1.092
73,Oman,2.2178161,2.959812,12,0.316
74,Morocco,8.6576552,2.91963,89,-0.668
75,Latvia,3.4235846,2.8000398,58,-0.194
76,Tunisia,2.5078333,2.7770819,21,0.092
77,Uganda,1.7094994,2.674508,15,0.542
78,Algeria,3.2316789,2.5915446,14,-0.21
79,"Costa Rica",3.6488831,2.4585664,15,-0.336
80,"Sri Lanka",1.5684113,2.2887522,54,0.438
81,Georgia,1.3100746,2.1640744,151,0.628
82,Philippines,2.4265301,2.0073996,40,-0.185
83,Tanzania,2.0131279,1.81963,15,-0.109
