Position,Country/territory,"Share 2017","Share 2018","Count 2018","Change in Adjusted Share 2017-2018"
1,"United States of America (USA)",19998.8615747,20417.404062,28440,-0.036
2,China,9271.0487153,11380.9260768,15611,0.159
3,Germany,4440.6304061,4595.3986737,8818,-0.023
4,"United Kingdom (UK)",3697.4951643,3762.7304412,7686,-0.039
5,Japan,3104.4097403,3089.8530787,4935,-0.06
6,France,2254.9229442,2205.5945115,4921,-0.077
7,Canada,1577.7207905,1621.4775927,3325,-0.03
8,Switzerland,1360.5296267,1425.7528649,3261,-0.011
9,"South Korea",1301.7580106,1352.0464647,2291,-0.019
10,Australia,1106.2483186,1256.1297913,2833,0.072
11,Spain,1110.2164254,1169.6510617,2737,-0.005
12,Italy,1045.4451623,1067.3119119,2676,-0.036
13,India,958.3594061,963.213779,1514,-0.051
14,Netherlands,920.0745329,936.1512644,2315,-0.039
15,Sweden,607.0150059,639.8829468,1732,-0.005
16,Israel,588.3642008,618.9917793,1232,-0.007
17,Singapore,599.1060863,607.1367832,1204,-0.043
18,Russia,413.5181499,482.9587018,1451,0.103
19,Belgium,405.8819957,421.891292,1190,-0.019
20,Denmark,365.6805456,409.2599399,1154,0.057
21,Taiwan,425.6819262,393.034015,950,-0.128
22,Austria,375.7262677,366.9274248,1097,-0.078
23,Brazil,262.9393164,308.5131825,951,0.108
24,Poland,220.2806788,236.4500163,856,0.013
25,Finland,196.7492217,217.5824524,738,0.044
26,Norway,193.1835064,201.8207976,685,-0.014
27,"Czech Republic",195.5033096,198.832675,714,-0.04
28,Portugal,135.1078217,166.9221848,643,0.166
29,"Saudi Arabia",140.4530303,134.0601935,497,-0.099
30,"New Zealand",130.2669516,124.521569,435,-0.098
31,Iran,88.1402388,118.4679717,310,0.269
32,Ireland,127.0609605,110.1227855,481,-0.182
33,Chile,100.8939132,109.0935616,404,0.021
34,Mexico,80.7923088,102.4848216,395,0.198
35,Argentina,97.5892942,100.8305647,298,-0.025
36,"South Africa",70.0110113,90.7714429,357,0.224
37,Greece,83.0892454,84.2360411,432,-0.043
38,Hungary,77.5737706,79.4536764,392,-0.033
39,Turkey,59.524636,72.9940614,382,0.158
40,Slovenia,40.9864295,42.8597767,190,-0.013
41,Thailand,37.5692093,40.7141096,241,0.023
42,Croatia,28.4906494,31.2798468,221,0.036
43,Iceland,26.8328251,28.6612916,103,0.008
44,Pakistan,40.2594003,28.5629848,209,-0.33
45,Romania,22.045718,23.5164297,217,0.007
46,Ukraine,21.4285062,21.7801077,244,-0.04
47,Luxembourg,18.9687292,20.389824,68,0.015
48,"United Arab Emirates",18.8112914,17.7869716,77,-0.107
49,Colombia,17.3835386,17.5649112,287,-0.046
50,Vietnam,10.449977,16.7807131,95,0.516
51,Estonia,26.1062303,16.3292415,202,-0.41
52,Egypt,12.3506202,14.1929372,223,0.085
53,Bulgaria,7.0754476,13.6218647,177,0.817
54,Lithuania,11.5784705,13.4920545,138,0.1
55,Ecuador,6.8861948,12.9192948,149,0.771
56,Serbia,7.7389968,12.2620238,201,0.496
57,Qatar,10.4136978,11.9823953,116,0.086
58,Armenia,8.3114906,10.5841695,208,0.202
59,Slovakia,14.1549488,10.1404607,134,-0.324
60,Malaysia,7.8801779,9.9544691,197,0.193
61,Cyprus,8.4187565,9.3821842,133,0.052
62,Indonesia,8.7236047,9.3759071,70,0.015
63,Panama,6.8741899,7.4789797,34,0.027
64,Kenya,3.7258806,7.0801052,43,0.794
65,Lebanon,7.3240428,6.3620343,25,-0.18
66,Uruguay,6.5852977,6.3157089,18,-0.095
67,Peru,5.600135,5.9242797,48,-0.001
68,Belarus,5.9894405,5.8177555,182,-0.083
69,Bangladesh,4.0611892,5.788789,25,0.346
70,Nepal,1.288961,4.2973038,19,2.147
71,Morocco,2.91963,4.2963074,83,0.389
72,Algeria,2.5915446,4.1561329,19,0.514
73,Tunisia,2.7770819,4.0607712,20,0.38
74,Kazakhstan,7.3606035,3.4901193,22,-0.552
75,Malta,4.4713387,3.4623252,12,-0.269
76,Cameroon,1.592389,3.0340891,15,0.799
77,Ethiopia,1.1458597,3.0137588,21,1.483
78,"French Polynesia",1.3537037,3.0098827,11,1.099
79,Oman,2.959812,2.9926374,11,-0.045
80,Georgia,2.1640744,2.7409088,168,0.196
81,Philippines,2.0073996,2.7408434,45,0.289
82,Cuba,0.9899345,2.6932471,24,1.568
83,Venezuela,1.5226907,2.5467626,14,0.579
84,"Costa Rica",2.4585664,2.4958139,16,-0.042
85,Tanzania,1.81963,2.4866135,16,0.29
86,Uganda,2.674508,2.4273474,16,-0.143
87,"Sri Lanka",2.2887522,2.3206494,61,-0.043
88,Senegal,0.9482612,2.1995857,11,1.19
89,Latvia,2.8000398,2.1244752,72,-0.284
90,Monaco,0.90322,1.7862328,12,0.867
91,"North Korea",1.3,1.7828704,5,0.295
92,Greenland,0.5557292,1.7699074,11,2.007
93,Mongolia,1.5340376,1.721446,23,0.059
94,Nicaragua,0.9001035,1.6087144,5,0.687
95,Nigeria,1.0041632,1.4678445,14,0.38
96,Botswana,0.6814421,1.4617449,7,1.025
97,Jordan,1.3360783,1.4278319,10,0.009
98,Malawi,1.2954706,1.4122,13,0.029
99,Madagascar,1.6907814,1.3850469,10,-0.227
100,"Bosnia and Herzegovina",1.04,1.2845238,6,0.166
101,Moldova,3.3401152,1.18581,10,-0.665
102,Gambia,0.2263889,1.0630176,7,3.433
103,Brunei,0.9173597,0.9863904,7,0.015
104,Gabon,1.5302343,0.9422175,7,-0.419
106,Myanmar,0.04,0.9297046,8,20.942
106,"Democratic Republic of the Congo (DRC)",1.4326298701298,0.93183568882098,6,-0.386
107,"Trinidad and Tobago",0.5242424,0.8305985,5,0.496
108,Macedonia,0.9411262,0.8255425,9,-0.172
109,Cambodia,1.3664286,0.8154207,8,-0.437
110,"Ivory Coast",0.6123231,0.800261,7,0.234
111,Benin,1.5691138,0.7712505,8,-0.536
112,Bolivia,0.2867102,0.7649148,7,1.519
113,Iraq,1.4218574,0.7401674,9,-0.509
114,Liechtenstein,0.5328483,0.6641983,6,0.177
115,"Burkina Faso",1.10692,0.6587798,6,-0.438
116,"Papua New Guinea",1.1925447,0.6314537,5,-0.5
117,Ghana,0.5730339,0.5511688,5,-0.092
118,Uzbekistan,0.6607443,0.5497388,11,-0.215
119,Mali,1.7477272,0.5044586,6,-0.728
120,"Central African Republic",0.193151,0.481203,2,1.352
121,Fiji,0.503309,0.4296552,5,-0.194
122,Laos,0.1219048,0.405303,2,2.139
123,Tajikistan,0.4107143,0.3928571,2,-0.097
124,Kuwait,0.5102382,0.3920517,6,-0.275
125,Kyrgyzstan,0.1751152,0.3883151,5,1.093
126,"Equatorial Guinea",0,0.3636364,1,0
126,"Vatican City State (Holy See)",0.4091768,0.3636364,4,-0.161
127,Vanuatu,0.2539683,0.35,2,0.301
128,Jamaica,0.4504193,0.3435766,4,-0.28
129,Guinea,0.1081731,0.3274886,4,1.858
130,Grenada,0.0454545,0.2833333,2,4.885
131,Azerbaijan,1.4869214,0.2792088,78,-0.823
132,Zimbabwe,0.4331148,0.2778822,4,-0.394
133,Haiti,0,0.25,1,0
133,Palau,0,0.25,1,0
133,"Sierra Leone",0.4124635,0.25,1,-0.428
134,Namibia,1.0164087,0.2422744,5,-0.775
135,"Dominican Republic",0,0.2,1,0
136,"El Salvador",0,0.1833333,2,0
